Tiempo, Altura
0.05, 56.991
1.23, 52.525
2.41, 48.059
3.59, 44.183
4.77, 39.817
5.96, 35.825
7.14, 32.265
8.32, 28.738
9.51, 25.486
10.69, 22.476
11.87, 19.709
13.06, 17.234
14.24, 14.854
15.42, 12.767
16.61, 10.972
17.79, 9.094
18.97, 7.929
20.16, 6.343
21.34, 5.631
22.52, 5.372
23.71, 4.955
24.89, 4.644
26.07, 4.199
27.26, 3.811
28.44, 3.495
30.00, 3.282
