Tiempo, Altura
0.03, 54.680
1.80, 50.471
3.57, 46.249
5.33, 42.392
7.10, 38.723
8.87, 35.390
10.63, 31.538
12.40, 28.409
14.17, 25.279
15.93, 22.360
17.70, 19.784
19.47, 17.570
21.23, 15.253
23.00, 13.112
24.77, 11.242
26.53, 9.563
28.30, 8.174
30.07, 7.252
31.83, 6.521
33.60, 5.970
35.37, 5.609
37.13, 5.105
38.90, 4.792
40.67, 4.397
42.43, 4.052
44.00, 3.706
