Tiempo, Altura
0.03, 52.797
1.32, 48.455
2.61, 44.124
3.90, 40.054
5.19, 36.397
6.48, 32.854
7.77, 29.940
9.06, 25.892
10.35, 22.473
11.64, 20.111
12.93, 17.750
14.22, 15.464
15.51, 13.103
16.80, 10.970
18.09, 9.370
19.38, 7.846
20.67, 6.780
21.96, 5.790
23.25, 5.180
24.54, 4.495
25.83, 3.962
27.12, 3.660
28.41, 3.491
29.70, 3.103
30.99, 2.879
32.00, 2.681
